ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10001,Brahma Brews,JP Nagar,"24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",12noon – 12midnight (Mon-Sun)
10002,Big Pitcher,Sarjapur Road,"Doddakannelli Village, Varthur, Hobli, Sarjapur Road, Bangalore",11am – 1am (Mon-Sun)
10003,The Big Barbeque,Electronic City,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10004,BLR Brewing Co.,Electronic City,"84/4, 4th Floor, Neeladri Road, Phase 1, Electronic City, Bangalore","12:30pm – 12:30am (Mon, Tue, Sat, Sun), 12:30pm..."
10005,Dr. Sheesha 24 Hours Gastro Pub,"The Sahar Pavilion, Electronic City","Sahar Pavillion Hotel, 2224 & 2225, AECS Layout, Singasandra, Electronic City, Bangalore",11am – 5am (Mon-Sun)
10006,Byg Brewski Brewing Company,Sarjapur Road,"Behind MK Retail, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10007,URU Brewpark,JP Nagar,"Maratt Estate, 4th Phase, Near Maratt Pimento, JP Nagar, Bangalore",12noon – 12midnight (Mon-Sun)
10008,Hoot,Sarjapur Road,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","12noon – 12:30am (Mon, Tue, Wed, Thu, Sun), 12noon..."
10009,The Fisherman's Wharf,Sarjapur Road,"26, Opposite Shubh Enclave,  Ambalipura Village, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10010,Masala Mandi,Sarjapur Road,"2nd Floor, Gold Sand, Doddakannelli, Sarjapur Road, Bangalore","12noon – 4pm, 6:30pm – 11:30pm (Mon-Sun)"
10011,AB's - Absolute Barbecues,BTM,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore","12noon – 4pm, 6:30pm – 12midnight (Mon-Sun)"
10012,Shivaji Military Hotel,Jayanagar,"718, 1st C Main, 45th Cross, 8th Block, Jayanagar, Bangalore",8:30am – 3:30pm (Mon-Sun)
10013,Levels,JP Nagar,"14, Outer Ring Road, Dollars Colony, 4th Phase, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10014,The Globe Grub,BTM,"C K Emerald, Bannerghata Main Road, Opposite Yes Bank, BTM, Bangalore","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10015,Stories - The Brew Chapter,BTM,"348/1/2, Survey 62, 29th Main, 2nd Stage, Lake Road, BTM, Bangalore",12noon – 1am (Mon-Sun)
10016,Meghana Foods,Jayanagar,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore","12noon – 4pm, 7pm – 11pm (Mon-Sun)"
10017,The Pump House,JP Nagar,"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10018,Sarjapur Social,Sarjapur Road,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",9am – 12:30am (Mon-Sun)
10019,Barbeque Nation,JP Nagar,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
10020,TBC Sky Lounge,HSR,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10021,46 Ounces Brewgarden,Electronic City,"43, Phase 1, Electronic City, Bangalore",12noon – 11pm (Mon-Sun)
10022,Xochi Bar And Kitchen,Bellandur,"1202, Survey 79/7, Outer Ring Road, Varathur Hobli, Bellandur, Bangalore",12noon – 12midnight (Mon-Sun)
10023,Deja Vu Buffet Bar,JP Nagar,"7/8, Doresanipalya, 5th Phase, Opposite Oracle, JP Nagar, Bangalore","11am – 4pm, 6:30pm – 11pm (Mon-Sun)"
10024,Aurum Brew Works,Sarjapur Road,"3rd Floor, Gold Sand, Doddakannelli, Sarjapur Road, Bangalore",12:30pm – 12:30am (Mon-Sun)
10025,Mavalli Tiffin Room (MTR),Basavanagudi,"14, Lalbagh Road, Mavalli, Basavanagudi, Bangalore","Closed (Mon),6:30am – 11am, 12:30pm – 9pm (Tue-Sun)"
10026,Vapour Brewpub and Diner,Sarjapur Road,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10027,Grasshopper,Bannerghatta Road,"45, Near Meenakshi Temple, Kalena Agrahara, Bannerghatta Road, Bangalore","7:30pm – 11pm (Mon-Thu),7:30pm – 11:30pm..."
10028,eat.fit,HSR,"16, 1st Main Road, Muneswara Nagar, Sector 6, HSR, Bangalore",7am – 10:30pm (Mon-Sun)
10029,Hakuna Matata,JP Nagar,"1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",12:30pm – 11:30pm (Mon-Sun)
10030,Gilly's Restobar,Electronic City,"Ashrith Corner, Near Ajmera Neeladri Road, Phase 1, Electronic City, Bangalore",12noon – 1am (Mon-Sun)
10031,Fire Station,Electronic City,"154, Neeladri Main Road, Near Unlimited Store, Doddathoguru, Phase 1, Electronic City, Bangalore",12noon – 1am (Mon-Sun)
10032,House Of Commons,HSR,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",10:30am – 12:30am (Mon-Sun)
10033,Levitate Brewery and Kitchen,JP Nagar,"57, 1st Main Road, Sarakki Industrial Layout, 3rd Phase, JP Nagar, Bengalore",12noon – 12:30am (Mon-Sun)
10034,Stegi - Modern Indian,Jayanagar,"Building 5, 5th Floor, 3rd Block, Diagonal Road, Fab India Building, Opposite President Hotel, Jayanagar, Bangalore","12noon – 4pm, 7pm – 12midnight (Mon-Sun)"
10035,Al Daaz,HSR,"64 & 65, 27th Main Road, Sector 1, HSR, Bangalore","12noon – 12:30am (Mon, Tue, Wed, Thu, Sat, Sun)..."
10036,Gufha - The President Hotel,"The President Hotel, Jayanagar","The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore","12:30pm – 11pm (Mon-Thu),12noon – 11:30pm (Fri-Sun)"
10037,Sattvam,JP Nagar,"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore","12noon – 3:30pm, 7pm – 11pm (Mon-Sun)"
10038,What the Ale?!,Electronic City,"5th Floor, Near Brand Factory, Neeladri Nagar, Phase 1, Electronic City, Bangalore","5pm – 12noon (Mon),12noon – 12midnight (Tue..."
10039,Taaza Thindi,Jayanagar,"1004, 26th Main, 4th T Block, Beside HDFC Bank, Jayanagar, Bangalore","7am – 12noon, 4:30pm – 9:30pm (Mon-Fri),7am –..."
10040,Whattay Kitchen and Brew,Kanakapura Road,"35, 9th Mile, Holiday Village Road, Vajarahalli Village, Jyotipuram, Kanakapura Road, Bangalore",12noon – 12:30am (Mon-Sun)
10041,The Barbecue Kingdom,Electronic City,"3, 2nd Floor, Phase 1, Neeladri Nagar, Electronic City, Bangalore","11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)"
10042,1522 - The Pub,JP Nagar,"613, Opposite Sindhoor Convention Center, 15th Cross, 6th Phase, 100 Feet Road, JP Nagar, Bangalore",11am – 1am (Mon-Sun)
10043,Rural Blues,Sarjapur Road,"112, Kodathi Gate, Near Wipro SEZ, Sarjapur Road, Bangalore","12noon – 11pm (Mon-Thu),12noon – 1am..."
10044,Subz,Jayanagar,"Cosmopolitan Club, Ground Floor, 22nd Cross, 3rd Block, Jayanagar, Bangalore","12noon – 3:30pm, 7pm – 11pm (Mon-Sun)"
10045,By The Peepal,JP Nagar,"637, 14th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore","12noon – 11:30pm (Mon-Tue),12noon – 1am (Wed-Sun)"
10046,Fat Owl,JP Nagar,"610, 100 Feet Ring Road, 15th Cross Road, 1st Phase, JP Nagar, Bangalore",12noon – 12:30am (Mon-Sun)
10047,Tipsy Bull - The Bar Exchange,JP Nagar,"603, 15th Cross, 100 Feet Ring Road, 6th Phase, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10048,Stories,JP Nagar,"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",12noon – 12:30am (Mon-Sun)
10049,Vidyarthi Bhavan,Basavanagudi,"32, Gandhi Bazaar, Near Gandhi Bazaar Circle, Basavanagudi, Bangalore","6:30am – 11:30am, 2pm – 8pm (Mon-Thu),Closed..."
10050,Chulha Chauki Da Dhaba,JP Nagar,"13, 7th Cross, 2nd Phase, JP Nagar, Bangalore","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
10051,Empire Restaurant,Jayanagar,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore","12:30pm – 1am (Mon, Tue, Wed, Thu, Sat, Sun), 2pm..."
10052,E - City Combos,Electronic City,"30 Sai Baba Temple Street, Electronic city 1st Phase, Electronic City, Bangalore",6am – 10:30pm (Mon-Sun)
10053,La Casa Brewery And Kitchen,Sarjapur Road,"15, Amrita Engineering College Road, Kasavanahalli, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10054,Onesta,HSR,"2318, 27th Main Road, 1st Sector, HSR, Bangalore",12:30pm – 11pm (Mon-Sun)
10055,Habit@,Bellandur,"Phase 1, Tower B, Inside Global Technology Park, Outer Ring Road, Devarabeesanahalli Village, Varthur Hobli, Bellandur, Bangalore",11am – 1am (Mon-Sun)
10056,OPUS Club,"OPUS, Sarjapur Road","26, Harlur Road, Near HP Petrol Bunk, Off Sarjapur Road, Bangalore","Closed (Mon),5pm – 1am (Tue-Sun)"
10057,Shift,HSR,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore","12noon – 12midnight (Mon-Thu),12noon – 1am..."
10058,Spice It - Ibis Bengaluru,"Ibis Bengaluru, Marathahalli","Business Park, Opposite RMZ Ecospace, Bellandur, Bangalore",6:30am – 11:30pm (Mon-Sun)
10059,Broadway - The Gourmet Theatre,HSR,"2802, 27th Main Road, Sector 1, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10060,Express by ABs,BTM,"2, CPR Tower, 2nd And 5th Floor, 100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore","12noon – 4pm, 6:30pm – 11pm (Mon-Sun)"
10061,Brother Barley Brewing Company,HSR,"9, 17th Cross Road, Sector 7, HSR, Bangalore","12noon – 11:30pm (Mon, Tue, Wed, Thu, Sun), 12noon..."
10062,Chili's American Grill & Bar,Bellandur,"13, The Bay, RMZ EcoWorld, Bellandur, Bangalore",12noon – 1am (Mon-Sun)
10063,The Hidden Home,Sarjapur Road,"82/4B, Near Wipro Corporate Office, Sarjapur Road, Bangalore",11:30am – 11pm (Mon-Sun)
10064,Go Native,Jayanagar,"64, 10th Main Road, 5th Block, Jayanagar, Bangalore",12noon – 9:45pm (Mon-Sun)
10065,Waffle Cart,BTM,"1-2/1, 1st Cross DRC Post, Forum Mall Back Gate, Buvannapa Layout, Tavarekere, BTM, Bangalore",12:30pm – 11pm (Mon-Sun)
10066,The Punjabi Rasoi,Sarjapur Road,"Above Star Supermarket, VGR Essor, Sarjapur Road, Bangalore","12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)"
10067,Village - The Soul of India,"Bangalore Central, JP Nagar","6th Floor, Bangalore Central Mall, JP Nagar, Bangalore","12:30pm – 3:30pm, 7:30pm – 11pm (Mon-Sun)"
10068,Millennials,JP Nagar,"46, 100 Feet Road, 4th Phase, Opposite Mandovi Motors, JP Nagar, Bangalore","10am – 11:30pm (Mon-Thu),10am – 12:30am (Fri-Sun)"
10069,Brahmin's Coffee Bar,Basavanagudi,"Ranga Rao Road, Near Shankar Mutt, Shankarapura, Near Basavanagudi, Bangalore","6am – 12noon, 3pm – 7pm (Mon-Sat),Closed (Sun)"
10070,Kesariya,JP Nagar,"55, Goenka Chambers, 1st Floor, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore","12noon – 3:30pm, 7pm – 11pm (Mon-Sun)"
10071,Basil Bistro,HSR,"2064, Siri Iris, 13th Cross, 24th Main, Vanganhalli, Sector 1, HSR, Bangalore",11:30am – 11pm (Mon-Sun)
10072,Ranganna Military Hotel,Jayanagar,"61, 1st Floor, KR Road, 7th Block, Jayanagar, Bangalore","Closed (Mon),7:30am – 4pm, 7:30pm – 10pm (Tue-Sun)"
10073,Indigo X II P,HSR,"14, 5th Floor, 9th Main Road, Sasya Homes, Service Road, HSR, Bangalore",12noon – 1am (Mon-Sun)
10074,Tea Villa Cafe,Jayanagar,"183/16, 5th Main Road, 4th Block, Jayanagar, Bangalore","10am – 11pm (Mon-Fri),9am – 11pm (Sat-Sun)"
10075,Hammered,HSR,"38, Sarjapur Main Road, Jakkasandra Extension, HSR, Bangalore","11:30am – 1am (Mon, Wed), 11am – 1am (Tue, Thu..."
10076,LIT Gastro Pub,Jayanagar,"233, 4th Floor, 40th Cross, 9th Main Road, 5th Block, Jayanagar, Bangalore","12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)..."
10077,Crumb Together,JP Nagar,"45, 100 Feet Road, 4th Phase, Opposite Mandovi Motors, JP Nagar, Bangalore","12:30pm – 11:30pm (Mon-Thu),12:30pm – 12:30am..."
10078,Nandhini Paradise,JP Nagar,"726/A, 24th Main Road, 6th Phase, JP Nagar, Bangalore","11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)"
10079,Xtreme Sports Bar,Sarjapur Road,"75, Play Arena, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore","12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)..."
10080,Pepe's Pizza,Bellandur,"77/1, 1st Floor, Outer Ring Road, Bellandur Grama, Bellandur, Bangalore",11am – 3am (Mon-Sun)
10081,Olive Grove,Electronic City,"3rd Floor, SBI Bank Building, Neeladri Road, Phase 1, Electronic City, Bangalore","12noon – 3:30pm, 6:30pm – 11:30pm (Mon, Tue..."
10082,Arogya Ahaara,HSR,"13, AB Square,14th Main, Sector 5, HSR, Bangalore","7am – 3pm, 5:30pm – 11:30pm (Mon-Sun)"
10083,Public - The Rooftop Bar And Kitchen,Bannerghatta Road,"53/1, 2, 4th Floor, SV Arcade, Bilekahalli, Bannerghatta Road, Bangalore","11am – 12midnight (Mon-Thu),11am – 1am (Fri-Sun)"
10084,Moti Mahal Delux,HSR,"331, Ground Floor, 27th Main, 2nd Stage, HSR, Bangalore","11:30am – 3:30pm, 7pm – 11pm (Mon-Thu),11:30am..."
10085,Kava - Fairfield by Marriott,Courtyard & Fairfield by Marriott,"Countryard & Fairfield By Marriott, Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bangalore",6:30am – 11pm (Mon-Sun)
10086,Brewsky,JP Nagar,"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore","12:30pm – 12:30am (Mon-Thu),12noon – 12:30am..."
10087,Nagarjuna,Bannerghatta Road,"174/1, Bannerghatta Main Road, Bannerghatta Road, Bangalore","12noon – 3:30pm, 7pm – 11pm (Mon-Sun)"
10088,Mani's Dum Biryani,Bellandur,"13, 1st Floor, Above Amba Bajaj, Sarjapur Marthahalli Outer Ring Road, Bellandur, Bangalore",11am – 1am (Mon-Sun)
10089,Hyderabadi Biryani Hub,BTM,"18, 4th Cross, 4th Link Road, Maruthi Nagar, Madiwala, 1st Stage, BTM, Bangalore","11am – 3am (Mon, Tue, Wed, Thu, Sun), 11am – 4am..."
10090,Kapoor's Cafe,Jayanagar,"GVS Complex, 4th Floor, Opposite Cosmopolitan Club, 3rd Block, Jayanagar, Bangalore","11am – 3:30pm, 7pm – 11pm (Mon-Thu),11am –..."
10091,Oyster,HSR,"36, Floor 3, 14th Main Road, Sector 7, HSR, Bangalore",12noon – 1am (Mon-Sun)
10092,Ruh,Bellandur,"4th Floor, Ganapa Tower, Sarjapur Outer Ring Road, Near Bangalore Central, Bellandur, Bangalore",12noon – 1am (Mon-Sun)
10093,Kabab Magic,Jayanagar,"1548, East End Circle, 9th Block, Jayanagar, Bangalore",12:30pm – 11pm (Mon-Sun)
10094,Hangover,HSR,"2324, 17th Cross, 27th Main, Sector 1, Opposite Studio Pepper Fry, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10095,Baba Chatkora,JP Nagar,"1304, Ground Floor, 9th Cross, 20th Main, JP Nagar, Bangalore",12noon – 11pm (Mon-Sun)
10096,Toscano,Jayanagar,"359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore",12noon – 11pm (Mon-Sun)
10097,Cable Car,Jayanagar,"24, 46th Cross, 5th Block Jayanagar, Bangalore","12noon – 3:30pm, 7pm – 11pm (Mon-Sun)"
10098,Meals And Grills,Kumaraswamy Layout,"1705, 5th Cross, 4th Main, Water Tank Road, Kumaraswamy Layout, Bangalore",11am – 11pm (Mon-Sun)
10099,Thyme & Whisk,Jayanagar,"56/1, Sri Krishna Towers, 9th Main Road, 5th Block, Jayanagar, Bangalore","11am – 11pm (Mon, Wed, Thu, Fri, Sat, Sun)..."
10100,KFC,HSR,"Ground & First Floor, 30, Sector 4, 14th Main Road, Opposite BDA Complex, HSR, Bangalore",11am – 11pm (Mon-Sun)
10101,Bonum Cibum,HSR,"1502, Ground Floor, Sector 1, HSR, Bangalore","11am – 4:30pm, 6:30pm – 11pm (Mon-Thu),11am –..."
10102,The Irish House,Bellandur,"Campus 8/A, International Bay, RMZ Ecoworld, Bellandur, Bangalore",12noon – 1am (Mon-Sun)
10103,Chianti,Bannerghatta Road,"172/1, Mall Unit 3, 3rd Floor, Srinivasa Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore","12noon – 3:30pm, 6:30pm – 10:30pm..."
10104,Three Dots & A Dash,JP Nagar,"47/1, 4th Floor, 9th Cross, 1st Main, Mini Forest, Phase 3, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10105,Biryani Kalakaar,BTM,"8/10, Ramaiah Layout, 2nd Cross, SG Palya, DRC Post, BTM, Bangalore",12noon – 12midnight (Mon-Sun)
10106,MOJO Pizza - 2X Toppings,Bannerghatta Road,"Shabari Complex, Arakere Mico Layout, Near Reliance Mart, Bannerghatta Road, Bangalore",11am – 1am (Mon-Sun)
10107,Hungry Bird,BTM,"17/18, Ground Floor, 4th Link Main, 4th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore",11am – 3am (Mon-Sun)
10108,Paradise Biryani,HSR,"438, Sector-4, HSR Layout, HSR, Bangalore",11am – 11pm (Mon-Sun)
10109,Dwaraka Krishna,BTM,"16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",7am – 12midnight (Mon-Sun)
10110,New Kabab Zone,Bommanahalli,"28 & 29, Begur Main Road, Hongasandra, Bommanahalli, Bangalore",11:30am – 11pm (Mon-Sun)
10111,Once Upon a Rooftop,Jayanagar,"278/A, 9th Main Road, 4th Block, Jayanagar, Bangalore","12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon..."
10112,Chutney Chang,Jayanagar,"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, Bangalore","12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)"
10113,Biryani Pot,Bellandur,"Narayanaswamy Building, Panther Railway Station Road, Panathur, Bellandur, Bangalore",11am – 3am (Mon-Sun)
10114,Ghee Biryani House,BTM,"15, 16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",7am – 4am (Mon-Sun)
10115,Mamatha Restaurant,Bommanahalli,"next to dorothy kitchen, next to lakshmi narasimha temple bommanahalli",11am – 12midnight (Mon-Sun)
10116,Cakewala,HSR,"461, 17th Cross, 4th Sector, HSR, Bangalore",8am – 10:30pm (Mon-Sun)
10117,Sea Lions BBQ & Grills,Jayanagar,"24, 46th Cross, 5th Block Jayanagar, Bangalore","12:30pm – 4pm, 7pm – 11pm (Mon-Sun)"
10118,Ghee Biryani,BTM,"15, 16th Main Road, Tavarekere Road, BTM, Bangalore",7am – 12midnight (Mon-Sun)
10119,Hunger Swipe Restaurant,HSR,"150, Ground Floor, FK Square, 5th Main Road, Sector 7, HSR, Bangalore",11am – 11pm (Mon-Sun)
10120,ASHOK VATTIKA,Jayanagar,"8, 6th Main C, Main Road, 4th Block, Jayanagar, Bangalore",7am – 10:30pm (Mon-Sun)
10121,House Of Draft,JP Nagar,"4, 3rd & 4th Floor, Sai Arcade, Kothnur Main Road, Opposite Adishwar, 7th Phase, JP Nagar, Bangalore",11:30am – 11:30pm (Mon-Sun)
10122,Punjabi Times,Bellandur,"24-26, 414/80/2, Bellandur Village, Varthur Hobli, Outer Ring Road, Bellandur, Bangalore","12:30pm – 3:30pm, 7pm – 11pm (Mon-Sun)"
10123,Casa Piccosa,Electronic City,"Site 332/100/122 And 321/100/121, 2nd - 5th Floor, Doddathoguru Village, Begur Hobli, BBMP South, Electronic City, Bangalore",11am – 1am (Mon-Sun)
10124,Seven Ate Nine,HSR,"436, 17 Cross Road, Sector 4, HSR, Bangalore","11:30am – 11pm (Mon-Thu),11:30am – 12:30am..."
10125,Swirl Jam,HSR,"2559, 24th Main Road, 14th Cross Road, Sector 1, HSR, Bangalore",11am – 8pm (Mon-Sun)
10126,Dorothy's Kitchen,Bommanahalli,"Beside Lakshmi Narasimha Temple, Bommanahalli, Bangalore","12midnight – 2am, 11am – 12midnight (Mon-Sun)"
10127,Biryani Junction,Banashankari,"2960, Ground Floor, Shastri Nagar, Near Umamaheshwari Temple, 2nd Stage, Banashankari, Bangalore","12midnight – 2am, 11am – 12midnight (Mon-Sun)"
10128,Navya's,Bommanahalli,"Beside Narasimha Temple, Bommanahalli, Bangalore",11am – 2am (Mon-Sun)
10129,Once Upon A Flame,HSR,"36, 1st Floor, 14th Main Road, 7th Sector, 80 Feet Main Road, HSR, Bangalore","12noon – 3:30pm, 7pm – 10:45pm (Mon-Fri),12noon..."
10130,Biryani Junction,Bommanahalli,"9, Roopena Agrahara, Behind Mahindra Showroom, Bommanahalli, Bangalore","12midnight – 2am, 11am – 12midnight (Mon-Sun)"
10131,Nandhana Palace,Bommasandra,"254/A1, 3rd Phase, Bommasandra Industrial Area, Hosur Main Road, Bommasandra, Bengaluru",11am – 11pm (Mon-Sun)
10132,Empire Juices And Ice Creams,Bannerghatta Road,Delivery Only,9am – 11pm (Mon-Sun)
10133,Fangover,JP Nagar,"71, Manjunatha Colony, 23rd Main, 2nd Phase, JP Nagar, Bangalore",11am – 10:30pm (Mon-Sun)
10134,Patio 805,Jayanagar,"805, Ground Floor, 35 Cross, 9th Main, 4th Block, Jayanagar, Bangalore",12:30pm – 12midnight (Mon-Sun)
10135,Pizza Hut,JP Nagar,"Site 309, PID 57-190-309, 15th Cross, 5th Phase, JP Nagar, Bangalore",11am – 1am (Mon-Sun)
10136,THE RIG,Sarjapur Road,"Ground and 1st  Floor, 82/4B, Sarjapur Road, Next To Wipro Corporate Office, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10137,Le Arabia,JP Nagar,"15, Bannerghatta Main Road, Opposite Shoppers Stop, JP Nagar, Bangalore",12noon – 1am (Mon-Sun)
10138,Bar Union,HSR,"253, 1st Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10139,Asha Tiffins,HSR,"1170, 5th Main Road, Sector 7, HSR, Bangalore","7am – 3:30pm, 4:30pm – 10pm (Mon-Sun)"
10140,Vanilla Sky,HSR,"253, 2nd Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore",12noon – 12midnight (Mon-Sun)
10141,14 Districts,BTM,"01, 100 Feet Ring Road, 1st Phase Of BTM 2nd Stage, BTM, Bangalore",(Mon-Sun)
10142,Roti Wala,BTM,"239, 7th Cross, Stage 2, BTM, Bangalore",8am – 11:30pm (Mon-Sun)
10143,Saiko Sushi House,BTM,"27/28, M Cross, Near Lakshmi Theatre, New Gurappanapalya, Thavarekere, BTM, Bangalore",12:30pm – 11:59am (Mon-Sun)
10144,Easy Bites,BTM,"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",11am – 3am (Mon-Sun)
10145,The Taste Of East,Bommanahalli,"61/394, 9th Main, Hongasandra Main Road, Garvebhavipaly, Bommanahalli, Bangalore",11am – 10pm (Mon-Sun)
10146,Zaitoon,JP Nagar,"21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",11:30am – 11:30pm (Mon-Sun)
10147,California Burrito,HSR,"1668/A, 14th Main Road, Sector 7, HSR, Bangalore",11am – 11pm (Mon-Sun)
10148,Pour Me Another,Electronic City,"21, Concorde Silicon Valley, Neeladri Road, Phase-1, Electronic City, Bangalore",12noon – 12midnight (Mon-Sun)
10149,Daruwala,JP Nagar,"7 & 8, Eden Park, Panduranga Nagar, Doresanipalya, 5th Phase, Near Kalyani Magnum, JP Nagar, Bangalore",12noon – 12:30am (Mon-Sun)
10150,Blue Terrain - Novotel,"Novotel Bengaluru, Marathahalli","Novotel Bengaluru Outer Ring Road, Opposite RMZ Ecospace Business Park, Sarjapur-Marathahalli Outer Ring Road, Bellandur, Bangalore","6pm – 1am (Mon, Thu, Fri, Sat), 6pm – 12midnight..."
10151,Brew Meister,Jayanagar,"523, 33rd Cross, Jayanagar, Bangalore",11am – 1am (Mon-Sun)
10152,Bathinda Tandoor,BTM,"19th B Cross, 7th Main, Near Alliance University, NS Palya, 2nd Stage, BTM, Bangalore","11am – 4:30pm, 7pm – 1am (Mon-Sun)"
10153,Chefer Plate,Electronic City,"159, Phase 1, Cross 2, Daddy's Garden, Kammasandra, Hebbagodi, Electronic City, Bangalore","11am – 3pm, 7pm – 11pm (Mon-Sun)"
10154,McDonald's,"Bangalore Central, Bellandur","5/78/7, Ground Floor, Bangalore Central, Bellandur, Bangalore",10am – 12midnight (Mon-Sun)
10155,Dilli to Dakshin,HSR,"2735, Kousthubham, 16th Cross, 27th Main, Opposite NIFT College, Sector 1, HSR, Bangalore",12noon – 11pm (Mon-Sun)
10156,Kannur Food Point,BTM,"6/21, 9th Cross, 1st Main, Venkateshwara Layout, SG Palya, BTM, Bangalore",8:30am – 11:30pm (Mon-Sun)
10157,La Pino'z Pizza,BTM,"2/749, 7th Cross, 14th Main, MICO Layout, Stage 2, BTM, Bangalore",11am – 11pm (Mon-Sun)
10158,Gharwaala Tiffin,HSR,"2064, Siri Iris, 13th Cross, 24th Main, 1st Sector, Vanganahalli, HSR Layout, HSR, Bangalore",11:30am – 11pm (Mon-Sun)
10159,Flavours Of Donne Biryani,BTM,"4, Ground Floor, 4th A Main Road, Chikkadugodi, New Extension, Taverekere Main Road, BTM, Bangalore",11am – 11pm (Mon-Sun)
10160,EAT - East Asian Treats,Electronic City,"47/7, 1st Floor, Nanjunda Reddy Complex, Doddathogur, Near Velankani Gate 2, Electronic City, Bangalore","12noon – 3:30pm, 6pm – 11:30pm (Mon-Sun)"
10161,Tapout Tavern,Sarjapur Road,"13/23, 4th Floor, Haralur Main Road, Ambalipura, Sarjapur Road, Bangalore",12noon – 1am (Mon-Sun)
10162,Sky Lounge Bar - Svenska Design Hotel,"Svenska Design Hotel, Electronic City","Svenska Design Hotel, 56 D, Wipro Gate 5, Phase 1, Electronic City, Bangalore",7pm – 10:45pm (Mon-Sun)
10163,The Buffet Table,HSR,"1085, 2nd Floor, Sector 3, 14th Main Road, HSR, Bangalore","12noon – 4pm, 6:30pm – 11pm (Mon-Sun)"
10164,Esperance,Jayanagar,"1, Old 740, New 20, 1st Floor, 10th Main, 4th Block, Jayanagar, Bangalore",12noon – 10:30pm (Mon-Sun)
10165,Bathinda Station,HSR,"2nd Floor, 27th Main Road, 1st Sector, HSR, Bangalore","11am – 5pm, 7pm – 11pm (Mon-Sun)"
