ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
11113,Curry Pot,Bellandur,"4th Cross, Opposite To Ganesh Temple, Bellandur, Bangalore","7:30am – 11:30am, 1pm – 4pm (Mon-Sun)"
11114,SV Biryani House,Electronic City,"95/3A, Ground Floor, Shop 5, Lava Kusha Building, Near Konappana Agrahara Bus Stop, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11115,Pakka Nati Style,Electronic City,"Beside KPTCL Office velangani Circle electronic city Bangalore, Electronic City, Bangalore",6:30am – 11pm (Mon-Sun)
11116,Veg Corner,Kanakapura Road,"BSK 6th Stage, 4th H Block, Ganigaraplya, Kanakapura Road, Bangalore",11am – 11pm (Mon-Sun)
11117,Sri Venkateshwara Fruit Juice Centre,Basavanagudi,"Shop 02, Corporation Building, 3rd Cross, 4th Main Road, Bull Temple Road, Kamalanagar, Chamrajpet, Basavanagudi, Bangalore",9am – 9pm (Mon-Sun)
11118,Overloaded,JP Nagar,"Shop 163/1, 3rd Cross, 5th Main Road, 5th Phase, Vinayak Nagar, JP Nagar, Bangalore",10am – 11am (Mon-Sun)
11119,Neo Cafe,BTM,"Tavarkere Main Road, Maruti nagar, 1st stage, BTM, Bangalore",9am – 11pm (Mon-Sun)
11120,LG Iyengar Bakery,BTM,"43, 2nd Main Road, New Gurappana Palya, 1st Stage, BTM, Bangalore",7am – 11pm (Mon-Sun)
11121,Dhanalakshmi Ambur Dum Biryani,Kanakapura Road,"Opposite Siddaganga school, Raghuvanahalli Bus Stop, Kanakpura Road, Bengaluru",11am – 11pm (Mon-Sun)
11122,Qwik Bites,HSR,"HSR High Street, Near Lawerence School, 9th Main Road, HSR Layout Sector 6, Bangalore",12noon – 1am (Mon-Sun)
11123,KDB Dum Biriyani Mane,Banashankari,"7/1, 50 Feet Road, 3rd Main Road, TG Layout, Banashankari, Bangalore","(Mon),11am – 11pm (Tue-Sun)"
11124,Bangalore Juice & Tea Point,Bellandur,"Shop 3, Passport Office Parking, Kariyammana Agrahara, Bellandur, Bangalore",6am – 10pm (Mon-Sun)
11125,New Newyork Pizzeria,Sarjapur Road,"Site 13/B, Krishna Kuteer, Bloomingdale Layout, Kasavanahalli, Sarjapur Road, Bangalore",11am – 1am (Mon-Sun)
11126,Prashanth Chats,Kanakapura Road,"132, 3rd Cross Road, Old Bank Colony, Konanakunte, Kanakapura Road, Bangalore",5pm – 10pm (Mon-Sun)
11127,Savannah's Naati Manae,Bommanahalli,"1st Main Road, Duo Heights Layout, Bommanahalli, Bangalore",12:30pm – 4am (Mon-Sun)
11128,HKGN Kabab Palace,Kumaraswamy Layout,"Near 15 E Bus Stop, 14th Main, 69th Cross, Kumaraswamy Layout, Bangalore",12noon – 11pm (Mon-Sun)
11129,Ashoka Bhavan,Bannerghatta Road,"389, Cave Temple Road, Pai Layout, Hulimavu, Bannerghatta Road, Bangalore",8am – 10:30pm (Mon-Sun)
11130,Home Made Food,HSR,"Near Sai Residency, Mangampalya Road, ITI Layout, HSR, Bangalore",11am – 11pm (Mon-Sun)
11131,Swaad A Punjab,Electronic City,"50-A, 1st Floor, Near Bhel, Velankani Tech Park Road, Doddathogur Village, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11132,South Thindi,JP Nagar,"50, 17th Cross, 18th Main, 5th phase J P Nagar Bangalore",7:30am – 9pm (Mon-Sun)
11133,Fish Bazzar,Electronic City,"22, RR Layout, Neeladri Road, Chikkathogur, Doddanagamangala Junction, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11134,Goan Cuisine Combos,Electronic City,"22, RR Layout, Neeladri Road, Chikkathogur, Doddanagamangala Junction, Electronic City, Bangalore",11am – 10pm (Mon-Sun)
11135,Spicy Bites,HSR,"869, Second Floor, 24th Main, 24th Cross, Sector-2, HSR, Bangalore",8:30am – 8pm (Mon-Sun)
11136,New Lassi Park,BTM,"117, Tavarekere Main Road, Tavarekere, Narayan Gowda Layout, 1st Stage, BTM, Bangalore",9:30am – 11:30pm (Mon-Sun)
